fgos_code,fgos_name,fgos_prikaz
09.03.01,Информатика и вычислительная техника,Приказ Минобрнауки России от 19.09.2017 N 929 (ред. от 08.02.2021)
09.03.02,Информационные системы и технологии,Приказ Минобрнауки России от 19.09.2017 N 926 (ред. от 08.02.2021)
09.03.03,Прикладная информатика,Приказ Минобрнауки России от 19.09.2017 N 922 (ред. от 08.02.2021)
09.03.04,Программная инженерия,Приказ Минобрнауки России от 19.09.2017 N 920 (ред. от 08.02.2021)
44.03.01,Педагогическое образование,Приказ Минобрнауки России от 22.02.2018 N 121 (ред. от 08.02.2021)
44.03.02,Психолого-педагогическое образование,Приказ Минобрнауки России от 22.02.2018 N 122 (ред. т 08.02.2021)
44.03.03,Специальное (дефектологическое) образование,Приказ Минобрнауки России от 22.02.2018 N 123 (ред. от 08.02.2021)
44.03.04,Профессиональное обучение (по отраслям),Приказ Минобрнауки России от 22.02.2018 N 124 (ред. от 08.02.2021)
44.03.05,Педагогическое образование (с двумя профилями подготовки),Приказ Минобрнауки России от 22.02.2018 N 125 (ред. от 08.02.2021)
09.02.01,Компьютерные системы и комплексы,Приказ Минобрнауки России от 28.07.2014 N 849
09.02.03,Программирование в компьютерных системах,Приказ Минобрнауки России от 28.07.2014 N 804 (ред. от 21.10.2019)
09.02.04,Информационные системы (по отраслям),Приказ Минобрнауки России от 14.05.2014 N 525 (ред. от 21.10.2019)
09.02.05,Прикладная информатика (по отраслям),Приказ Минобрнауки России от 13.08.2014 N 1001 (ред. от 21.10.2019)
09.02.06,Сетевое и системное администрирование,Приказ Минобрнауки России от 09.12.2016 N 1548 (ред. от 17.12.2020)
09.02.07,Информационные системы и программирование,Приказ Минобрнауки России от 09.12.2016 N 1547 (ред. от 17.12.2020)
44.03.01,Педагогическое образование,Приказ Минобрнауки России от 22.02.2018 N 121 (ред. от 08.02.2021)
44.03.02,Психолого-педагогическое образование,Приказ Минобрнауки России от 22.02.2018 N 122 (ред. от 08.02.2021)
44.03.03,Специальное (дефектологическое) образование,Приказ Минобрнауки России от 22.02.2018 N 123 (ред. от 08.02.2021)
44.03.04,Профессиональное обучение (по отраслям),Приказ Минобрнауки России от 22.02.2018 N 124 (ред. от 08.02.2021)
44.03.05,Педагогическое образование (с двумя профилями подготовки),Приказ Минобрнауки России от 22.02.2018 N 125 (ред. от 08.02.2021)
44.02.01,Дошкольное образование,Приказ Минобрнауки России от 27.10.2014 N 1351 (ред. от 25.03.2015)
44.02.02,Преподавание в начальных классах,Приказ Минобрнауки России от 27.10.2014 N 1353 (ред. от 25.03.2015)
44.02.03,Педагогика дополнительного образования,Приказ Минобрнауки России от 13.08.2014 N 998 (ред. от 25.03.2015)
44.02.04,Специальное дошкольное образование,Приказ Минобрнауки России от 27.10.2014 N 1354 (ред. от 25.03.2015)
44.02.05,Коррекционная педагогика в начальном образовании,Приказ Минобрнауки России от 27.10.2014 N 1393 (ред. от 25.03.2015)
44.02.06,Профессиональное обучение (по отраслям),Приказ Минобрнауки России от 27.10.2014 N 1386 (ред. от 25.03.2015)
