okved_code,okved_name
Раздел A,"Сельское, лесное хозяйство, охота, рыболовство и рыбоводство"
Раздел B,Добыча полезных ископаемых
Раздел C,Обрабатывающие производства
Раздел D,"Обеспечение электрической энергией, газом и паром; кондиционирование воздуха"
Раздел E,"Водоснабжение; водоотведение, организация сбора и утилизации отходов, деятельность по ликвидации загрязнений"
Раздел F,Строительство
Раздел G,Торговля оптовая и розничная; ремонт автотранспортных средств и мотоциклов
Раздел H,Транспортировка и хранение
Раздел I,Деятельность гостиниц и предприятий общественного питания
Раздел J,Деятельность в области информации и связи
Раздел K,Деятельность финансовая и страховая
Раздел L,Деятельность по операциям с недвижимым имуществом
