Код;КЧ;Наименование профессии;Наименование должности;Код категории;Код выпуска ЕТКС;Код по ОКЗ;autokey
10003;5;Авербандщик;;47;7332;;classifierOkpdtr_10003
10005;4;Авиационный механик (техник) по планеру и двигателям;;57;7515;;classifierOkpdtr_10005
10007;3;Авиационный механик (техник) по приборам и электрооборудованию;;57;7515;;classifierOkpdtr_10007
10008;8;Авиационный механик (техник) по радиооборудованию;;57;7515;;classifierOkpdtr_10008
10010;5;Авиационный (техник) механик по парашютным и аварийно-спасательным средствам;;57;7515;;classifierOkpdtr_10010
10012;4;Авиационный техник по горюче-смазочным материалам;;57;7515;;classifierOkpdtr_10012
10013;9;Автоклавщик;;30;8152;;classifierOkpdtr_10013
10014;3;Автоклавщик;;43;8139;;classifierOkpdtr_10014
10015;8;Автоклавщик;;44;8139;;classifierOkpdtr_10015
10016;2;Автоклавщик литья под давлением;;2;8122;;classifierOkpdtr_10016
10017;7;Автоклавщик на запарке брикетов;;4;8112;;classifierOkpdtr_10017
10019;6;Автоклавщик-сушильщик аккумуляторных пластин в производстве свинцовых аккумуляторов;;19;8290;;classifierOkpdtr_10019
10021;3;Автоматчик;;2;8211;;classifierOkpdtr_10021
10023;2;Автоматчик вязальных автоматов;;34;8224;;classifierOkpdtr_10023
10025;1;Автоматчик игольно-платинных изделий;;11;7280;;classifierOkpdtr_10025
10027;0;Автоматчик картонажного производства;;41;8143;;classifierOkpdtr_10027
10028;5;Автоматчик клеильных полуавтоматов;;40;8141;;classifierOkpdtr_10028
10030;2;Автоматчик на узловязальных и навивочных автоматах и станках;;15;8211;;classifierOkpdtr_10030
10032;1;Автоматчик по изготовлению деталей клавишных инструментов;;63;7312;;classifierOkpdtr_10032
10036;8;Автоматчик ремизных автоматов;;12;8211;;classifierOkpdtr_10036
10038;9;Автоматчик холодновысадочных автоматов;;2;8211;;classifierOkpdtr_10038
10039;3;Автоматчик элементного производства;;19;8211;;classifierOkpdtr_10039
10041;0;Агломератчик;;4;8112;;classifierOkpdtr_10041
10043;4;Аквадировщик;;20;8223;;classifierOkpdtr_10043
10045;9;Акклиматизатор;;59;7344;;classifierOkpdtr_10045
10047;8;Аккумуляторщик;;1;7233;;classifierOkpdtr_10047
10049;7;Алундировщик;;20;8223;;classifierOkpdtr_10049
10051;4;Алюминировщик;;2;8223;;classifierOkpdtr_10051
10053;3;Алюминировщик электротехнических изделий;;19;8223;;classifierOkpdtr_10053
10055;2;Ангобировщик;;45;7324;;classifierOkpdtr_10055
10056;7;Ангобировщик санитарно-строительных изделий;;45;7324;;classifierOkpdtr_10056
10058;6;Анодчик в производстве алюминия;;8;8122;;classifierOkpdtr_10058
10060;3;Антенщик-мачтовик;;58;7522;;classifierOkpdtr_10060
10062;2;Антикоррозийщик;;2;8223;;classifierOkpdtr_10062
10065;6;Аппаратчик;;20;8223;;classifierOkpdtr_10065
10067;5;Аппаратчик абсолютирования;;31;8221;;classifierOkpdtr_10067
10069;4;Аппаратчик абсорбции;;24;8154;;classifierOkpdtr_10069
10071;1;Аппаратчик адсорбции;;24;8154;;classifierOkpdtr_10071
10073;0;Аппаратчик азотирования;;25;8225;;classifierOkpdtr_10073
10075;3;Аппаратчик активации;;24;8159;;classifierOkpdtr_10075
10080;0;Аппаратчик аммонолиза;;26;8226;;classifierOkpdtr_10080
10083;4;Аппаратчик аппретирования;;47;8264;;classifierOkpdtr_10083
10084;9;Аппаратчик асептического консервирования;;51;8271;;classifierOkpdtr_10084
10085;3;Аппаратчик ацеталирования;;27;8232;;classifierOkpdtr_10085
10088;7;Аппаратчик ацилирования;;26;8226;;classifierOkpdtr_10088
10090;4;Аппаратчик балансовых установок;;32;8233;;classifierOkpdtr_10090
10092;3;Аппаратчик бельевых сушильных установок;;66;5145;;classifierOkpdtr_10092
10094;2;Аппаратчик бисульфитирования ванилина;;30;8277;;classifierOkpdtr_10094
10097;6;Аппаратчик бучения;;27;8232;;classifierOkpdtr_10097
10101;9;Аппаратчик вакуумирования;;24;8159;;classifierOkpdtr_10101
10103;8;Аппаратчик вакуум-приемников;;32;8233;;classifierOkpdtr_10103
10105;7;Аппаратчик вакуум-сушильной установки;;55;8272;;classifierOkpdtr_10105
10107;6;Аппаратчик вакуум-термической печи;;7;8123;;classifierOkpdtr_10107
10109;5;Аппаратчик валки изделий;;47;8262;;classifierOkpdtr_10109
10111;2;Аппаратчик-вальцевар;;26;8226;;classifierOkpdtr_10111
10114;6;Аппаратчик варки утфеля;;55;8276;;classifierOkpdtr_10114
10116;5;Аппаратчик витаминизации жира;;54;8271;;classifierOkpdtr_10116
10118;4;Аппаратчик водно-химической обработки;;48;8265;;classifierOkpdtr_10118
10120;1;Аппаратчик возгонки;;24;8154;;classifierOkpdtr_10120
10122;0;Аппаратчик воздухоразделения;;1;8290;;classifierOkpdtr_10122
10124;4;Аппаратчик восстановления;;24;8159;;classifierOkpdtr_10124
10125;4;Аппаратчик восстановления молока;;52;8272;;classifierOkpdtr_10125
10127;3;Аппаратчик восстановления полупроводниковых материалов;;20;8123;;classifierOkpdtr_10127
10129;2;Аппаратчик в производстве драгоценных металлов;;8;8122;;classifierOkpdtr_10129
10131;0;Аппаратчик в производстве металлических порошков;;8;8125;;classifierOkpdtr_10131
10133;9;Аппаратчик в производстве солей;;8;8125;;classifierOkpdtr_10133
10135;8;Аппаратчик в производстве твердых сплавов и тугоплавких металлов;;8;8122;;classifierOkpdtr_10135
10137;7;Аппаратчик в производстве титана и редких металлов;;8;8122;;classifierOkpdtr_10137
10138;1;Аппаратчик вспенивания;;27;8232;;classifierOkpdtr_10138
10142;8;Аппаратчик вулканизации;;33;8231;;classifierOkpdtr_10142
10144;7;Аппаратчик выделения ацетофенона;;32;8233;;classifierOkpdtr_10144
10146;6;Аппаратчик выделения карбинола;;32;8233;;classifierOkpdtr_10146
10148;5;Аппаратчик выделения псевдобутилена;;32;8233;;classifierOkpdtr_10148
10150;2;Аппаратчик выделения серы;;32;8233;;classifierOkpdtr_10150
10151;7;Аппаратчик выделения фтористого бора;;32;8233;;classifierOkpdtr_10151
10153;6;Аппаратчик выпаривания;;24;8152;;classifierOkpdtr_10153
10155;5;Аппаратчик выпаривания и гранулирования;;25;8225;;classifierOkpdtr_10155
10157;4;Аппаратчик выпарных аппаратов для получения жидкого продукта;;48;8269;;classifierOkpdtr_10157
10158;9;Аппаратчик выпарных аппаратов для получения твердого продукта;;48;8269;;classifierOkpdtr_10158
10160;6;Аппаратчик выращивания дрожжей;;55;8278;;classifierOkpdtr_10160
10162;5;Аппаратчик высаждения;;27;8232;;classifierOkpdtr_10162
10164;4;Аппаратчик вытопки;;48;8265;;classifierOkpdtr_10164
10166;3;Аппаратчик вытяжки;;28;8228;;classifierOkpdtr_10166
10168;2;Аппаратчик выщелачивания;;24;8159;;classifierOkpdtr_10168
10170;6;Аппаратчик газового консервирования;;52;8271;;classifierOkpdtr_10170
10172;9;Аппаратчик газогенерации;;24;8154;;classifierOkpdtr_10172
10174;8;Аппаратчик газоразделения;;24;8154;;classifierOkpdtr_10174
10176;7;Аппаратчик гашения извести;;24;8159;;classifierOkpdtr_10176
10177;1;Аппаратчик гидратации;;24;8153;;classifierOkpdtr_10177
10178;6;Аппаратчик гидратации;;55;8272;;classifierOkpdtr_10178
10179;0;Аппаратчик гидрирования;;24;8159;;classifierOkpdtr_10179
10181;8;Аппаратчик гидролиза;;24;8159;;classifierOkpdtr_10181
10183;7;Аппаратчик гидролиза жира и печени;;54;8271;;classifierOkpdtr_10183
10185;6;Аппаратчик гидролиза крахмального молока;;55;8274;;classifierOkpdtr_10185
10187;5;Аппаратчик-гидрометаллург;;8;8121;;classifierOkpdtr_10187
10189;4;Аппаратчик гидрохлорирования;;32;8233;;classifierOkpdtr_10189
10191;1;Аппаратчик гомогенизации;;48;8275;;classifierOkpdtr_10191
10195;9;Аппаратчик гомогенизации пластических масс;;27;8232;;classifierOkpdtr_10195
10197;9;Аппаратчик гранулирования;;24;8152;;classifierOkpdtr_10197
10198;3;Аппаратчик гранулирования;;48;8275;;classifierOkpdtr_10198
10199;8;Аппаратчик деаэрации;;32;8233;;classifierOkpdtr_10199
10201;1;Аппаратчик дегидратации;;24;8159;;classifierOkpdtr_10201
10202;6;Аппаратчик дегидрирования;;24;8152;;classifierOkpdtr_10202
10204;5;Аппаратчик дезодорации;;55;8272;;classifierOkpdtr_10204
10206;4;Аппаратчик декарбоксилирования;;31;8221;;classifierOkpdtr_10206
10208;3;Аппаратчик деполимеризации;;24;8159;;classifierOkpdtr_10208
10210;0;Аппаратчик десорбции;;24;8159;;classifierOkpdtr_10210
10212;0;Аппаратчик деструкции;;27;8232;;classifierOkpdtr_10212
10213;4;Аппаратчик десублимации;;25;8159;;classifierOkpdtr_10213
10215;3;Аппаратчик дефекосатурации диффузионного сока;;51;8276;;classifierOkpdtr_10215
10219;1;Аппаратчик димеризации;;32;8233;;classifierOkpdtr_10219
10221;9;Аппаратчик диспергирования пигментов и красителей;;26;8226;;classifierOkpdtr_10221
10222;3;Аппаратчик диспергирования щелочных металлов;;32;8233;;classifierOkpdtr_10222
10224;2;Аппаратчик диспропорционирования;;32;8233;;classifierOkpdtr_10224
10226;1;Аппаратчик диффузии;;48;8275;;classifierOkpdtr_10226
10228;0;Аппаратчик дозирования;;24;8159;;classifierOkpdtr_10228
10230;8;Аппаратчик-дозировщик на изготовлении и поливе фотоэмульсий;;34;8224;;classifierOkpdtr_10230
10232;7;Аппаратчик дозревания;;27;8232;;classifierOkpdtr_10232
10234;6;Аппаратчик дубления и сушки белковой оболочки;;34;8224;;classifierOkpdtr_10234
10316;0;Аппаратчик-комплекторщик;;55;8272;;classifierOkpdtr_10316
10236;5;Аппаратчик дубления (кожевенное и кожсырьевое производство);;48;8265;;classifierOkpdtr_10236
10238;4;Аппаратчик дубления (меховое производство);;48;8265;;classifierOkpdtr_10238
10240;1;Аппаратчик енолизации;;31;8221;;classifierOkpdtr_10240
10242;0;Аппаратчик желатинизации;;34;8224;;classifierOkpdtr_10242
10245;4;Аппаратчик жироочистки;;34;8224;;classifierOkpdtr_10245
10247;3;Аппаратчик-заварщик;;26;8226;;classifierOkpdtr_10247
10248;8;Аппаратчик замораживания пищевого сырья и продуктов;;48;8271;;classifierOkpdtr_10248
10251;6;Аппаратчик запаривания;;47;8261;;classifierOkpdtr_10251
10253;9;Аппаратчик запаривания одонков;;47;8261;;classifierOkpdtr_10253
