prof_code,prof_name
10003,Авербандщик
10005,Авиационный механик (техник) по планеру и двигателям
10007,Авиационный механик (техник) по приборам и электрооборудованию
10008,Авиационный механик (техник) по радиооборудованию
10010,Авиационный (техник) механик по парашютным и аварийно-спасательным средствам
10012,Авиационный техник по горюче-смазочным материалам
10013,Автоклавщик
10014,Автоклавщик
10015,Автоклавщик
10016,Автоклавщик литья под давлением
10017,Автоклавщик на запарке брикетов
10019,Автоклавщик-сушильщик аккумуляторных пластин в производстве свинцовых аккумуляторов
10021,Автоматчик
10023,Автоматчик вязальных автоматов
10025,Автоматчик игольно-платинных изделий
10027,Автоматчик картонажного производства
10028,Автоматчик клеильных полуавтоматов
10030,Автоматчик на узловязальных и навивочных автоматах и станках
10032,Автоматчик по изготовлению деталей клавишных инструментов
10036,Автоматчик ремизных автоматов
10038,Автоматчик холодновысадочных автоматов
10039,Автоматчик элементного производства
10041,Агломератчик
10043,Аквадировщик
10045,Акклиматизатор
10047,Аккумуляторщик
10049,Алундировщик
10051,Алюминировщик
10053,Алюминировщик электротехнических изделий
10055,Ангобировщик
10056,Ангобировщик санитарно-строительных изделий
10058,Анодчик в производстве алюминия
10060,Антенщик-мачтовик
10062,Антикоррозийщик
10065,Аппаратчик
10067,Аппаратчик абсолютирования
10069,Аппаратчик абсорбции
10071,Аппаратчик адсорбции
10073,Аппаратчик азотирования
10075,Аппаратчик активации
10080,Аппаратчик аммонолиза
10083,Аппаратчик аппретирования
10084,Аппаратчик асептического консервирования
10085,Аппаратчик ацеталирования
10088,Аппаратчик ацилирования
10090,Аппаратчик балансовых установок
10092,Аппаратчик бельевых сушильных установок
10094,Аппаратчик бисульфитирования ванилина
10097,Аппаратчик бучения
10101,Аппаратчик вакуумирования
10103,Аппаратчик вакуум-приемников
10105,Аппаратчик вакуум-сушильной установки
10107,Аппаратчик вакуум-термической печи
10109,Аппаратчик валки изделий
10111,Аппаратчик-вальцевар
10114,Аппаратчик варки утфеля
10116,Аппаратчик витаминизации жира
10118,Аппаратчик водно-химической обработки
10120,Аппаратчик возгонки
10122,Аппаратчик воздухоразделения
10124,Аппаратчик восстановления
10125,Аппаратчик восстановления молока
10127,Аппаратчик восстановления полупроводниковых материалов
10129,Аппаратчик в производстве драгоценных металлов
10131,Аппаратчик в производстве металлических порошков
10133,Аппаратчик в производстве солей
10135,Аппаратчик в производстве твердых сплавов и тугоплавких металлов
10137,Аппаратчик в производстве титана и редких металлов
10138,Аппаратчик вспенивания
10142,Аппаратчик вулканизации
10144,Аппаратчик выделения ацетофенона
10146,Аппаратчик выделения карбинола
10148,Аппаратчик выделения псевдобутилена
10150,Аппаратчик выделения серы
10151,Аппаратчик выделения фтористого бора
10153,Аппаратчик выпаривания
10155,Аппаратчик выпаривания и гранулирования
10157,Аппаратчик выпарных аппаратов для получения жидкого продукта
10158,Аппаратчик выпарных аппаратов для получения твердого продукта
10160,Аппаратчик выращивания дрожжей
10162,Аппаратчик высаждения
10164,Аппаратчик вытопки
10166,Аппаратчик вытяжки
10168,Аппаратчик выщелачивания
10170,Аппаратчик газового консервирования
10172,Аппаратчик газогенерации
10174,Аппаратчик газоразделения
10176,Аппаратчик гашения извести
10177,Аппаратчик гидратации
10178,Аппаратчик гидратации
10179,Аппаратчик гидрирования
10181,Аппаратчик гидролиза
10183,Аппаратчик гидролиза жира и печени
10185,Аппаратчик гидролиза крахмального молока
10187,Аппаратчик-гидрометаллург
10189,Аппаратчик гидрохлорирования
10191,Аппаратчик гомогенизации
10195,Аппаратчик гомогенизации пластических масс
10197,Аппаратчик гранулирования
10198,Аппаратчик гранулирования
10199,Аппаратчик деаэрации
10201,Аппаратчик дегидратации
10202,Аппаратчик дегидрирования
10204,Аппаратчик дезодорации
10206,Аппаратчик декарбоксилирования
10208,Аппаратчик деполимеризации
10210,Аппаратчик десорбции
10212,Аппаратчик деструкции
10213,Аппаратчик десублимации
10215,Аппаратчик дефекосатурации диффузионного сока
10219,Аппаратчик димеризации
10221,Аппаратчик диспергирования пигментов и красителей
10222,Аппаратчик диспергирования щелочных металлов
10224,Аппаратчик диспропорционирования
10226,Аппаратчик диффузии
10228,Аппаратчик дозирования
10230,Аппаратчик-дозировщик на изготовлении и поливе фотоэмульсий
10232,Аппаратчик дозревания
10234,Аппаратчик дубления и сушки белковой оболочки
10316,Аппаратчик-комплекторщик
10236,Аппаратчик дубления (кожевенное и кожсырьевое производство)
10238,Аппаратчик дубления (меховое производство)
10240,Аппаратчик енолизации
10242,Аппаратчик желатинизации
10245,Аппаратчик жироочистки
10247,Аппаратчик-заварщик
10248,Аппаратчик замораживания пищевого сырья и продуктов
10251,Аппаратчик запаривания
10253,Аппаратчик запаривания одонков
10255,Аппаратчик золения
10257,Аппаратчик золки
10259,Аппаратчик извлечения побочных продуктов
