prof_standard_code,prof_standard_sphere,prof_standard_type,prof_standard_name
01.001,Образование и наука,"Дошкольное образование
Начальное общее образование
Основное общее образование
Среднее общее образовани","Педагог (педагогическая деятельность в сфере дошкольного, начального общего, основного общего, среднего общего образования) (воспитатель, учитель) "
40.001,Сквозные виды профессиональной деятельности,Охрана и защита интеллектуальной собственности и введение в оборот прав на нее,Специалист по патентоведению  
03.001,Социальное обслуживание,"Деятельность по планированию, организации, контролю и предоставлению социальных услуг, мер социальной поддержки и государственной социальной помощи",Специалист по социальной работе
06.001,"Связь, информационные и коммуникационные технологии ",Разработка компьютерного программного обеспечения,Программист
25.001,Ракетно-космическая промышленность ,"Проектирование и конструирование космических аппаратов, космических систем и их составных частей",Специалист по проектированию и конструированию космических аппаратов и систем
03.002,Социальное обслуживание,Предоставление социальных услуг получателям социальных услуг,Социальный работник
03.003,Социальное обслуживание,Управление организацией социального обслуживания,Руководитель организации социального обслуживания
03.004,Социальное обслуживание,Управление бюро медико-социальной экспертизы,Руководитель учреждения медико-социальной экспертизы
03.005,Социальное обслуживание,Проведение медико-социальной экспертизы,Специалист по медико-социальной экспертизе
03.006,Социальное обслуживание,"Содействие обеспечению и защите прав и законных интересов детей, социальных, государственных гарантий детям-сиротам, детям, оставшимся без попечения родителей, лицам из числа детей-сирот, детей оставшихся без попечения родителей",Специалист органа опеки и попечительства в отношении несовершеннолетних
03.007,Социальное обслуживание,Социальная реабилитация и абилитация детей и взрослых,Специалист по реабилитационной работе в социальной сфере
03.008,Социальное обслуживание,Оказание социально-психологического сопровождения и психологической помощи населению,Психолог в социальной сфере
03.009,Социальное обслуживание,"Предоставление социальных услуг и осуществление социального сопровождения граждан, семей, семей с детьми, а также восстановление семейного и детского благополучия, профилактика безнадзорности и правонарушений несовершеннолетних",Специалист по работе с семьей
40.002,Сквозные виды профессиональной деятельности,Ручная и частично механизированная сварка (наплавка),Сварщик
16.001,Строительство и ЖКХ,Оценка соответствия лифтов и устройств безопасности лифтов требованиям безопасности,"Специалист по оценке соответствия лифтов 
требованиям безопасности                                                                                
"
16.002,Строительство и ЖКХ,Управление инвестиционно-строительным проектом на всех стадиях жизненного цикла объекта капитального строительства и линейных объектов,Специалист технического заказчика
16.003,Строительство и ЖКХ,Деятельность по организации сбора и накопления твердых коммунальных отходов,Специалист по организации сбора и накопления твердых коммунальных отходов
25.002,Ракетно-космическая промышленность ,"Слесарная сборка изделий точной механики (гироскопы, акселерометры) и их составных частей в ракетно-космической промышленности","Слесарь-сборщик изделий точной механики (гироскопы, акселерометры) в ракетно-космической промышленности
"
25.003,Ракетно-космическая промышленность ,"Разработка и конструкторское сопровождение производства приборов ориентации, навигации и стабилизации летательных аппаратов и их составных частей в ракетно-космической промышленности","Инженер по приборам ориентации, навигации и стабилизации летательных аппаратов в ракетно-космической промышленности

"
16.004,Строительство и ЖКХ,"Кремация тел (останков) умерших (погибших), обработка праха",Работник кремационного комплекса
40.003,Сквозные виды профессиональной деятельности,"Производство интегральных схем, микросборок и микромодулей","Инженер-конструктор в области производства наногетероструктурных СВЧ-монолитных интегральных схем
"
40.004,Сквозные виды профессиональной деятельности,"Производство объемных нанометаллов, сплавов, композитов на их основе и изделий из них","Специалист в области технологического обеспечения 
полного цикла производства объемных нанометаллов, сплавов, композитов на их основе и изделий из них
"
40.005,Сквозные виды профессиональной деятельности,"Производство объемных нанометаллов, сплавов, композитов на их основе и изделий из них","Специалист в области материаловедческого обеспечения
технологического цикла производства объемных нанометаллов,
сплавов, композитов на их основе и изделий из них

"
40.006,Сквозные виды профессиональной деятельности,"Разработка, сопровождение и интеграция технологических процессов производства полупроводников с использованием нанотехнологий","Инженер-технолог в области производства наноразмерных полупроводниковых приборов и интегральных схем
"
