okved_group,year,worker_num
"Сельское, лесное хозяйство, охота, рыболовство и рыбоводство",2010,76.134
Добыча полезных ископаемых,2010,14.2
Обрабатывающие производства,2010,245.751
"Обеспечение электрической энергией, газом и паром; кондиционирование воздуха",2010,27.476
"Водоснабжение; водоотведение, организация сбора и утилизации отходов, деятельность по ликвидации загрязнений",2010,12.966
Строительство,2010,111.063
Торговля оптовая и розничная; ремонт автотранспортных средств и мотоциклов,2010,193.563
Транспортировка и хранение,2010,83.623
Деятельность гостиниц и предприятий общественного питания,2010,28.067
Деятельность в области информации и связи,2010,21.591
Деятельность финансовая и страховая,2010,16.899
Деятельность по операциям с недвижимым имуществом,2010,34.55
"Деятельность профессиональная, научная и техническая",2010,44.715
Деятельность административная и сопутствующие дополнительные услуги,2010,35.488
Государственное управление и обеспечение военной безопасности; социальное обеспечение,2010,79.256
Образование,2010,104.827
Деятельность в области здравоохранения и социальных услуг,2010,80.72
"Деятельность в области культуры, спорта, организации досуга и развлечений",2010,18.658
Предоставление прочих видов услуг,2010,18.876
"Сельское, лесное хозяйство, охота, рыболовство и рыбоводство",2011,75.88
Добыча полезных ископаемых,2011,14.457
Обрабатывающие производства,2011,256.719
"Обеспечение электрической энергией, газом и паром; кондиционирование воздуха",2011,26.671
"Водоснабжение; водоотведение, организация сбора и утилизации отходов, деятельность по ликвидации загрязнений",2011,12.861
Строительство,2011,108.033
Торговля оптовая и розничная; ремонт автотранспортных средств и мотоциклов,2011,216.999
Транспортировка и хранение,2011,82.181
Деятельность гостиниц и предприятий общественного питания,2011,31.634
Деятельность в области информации и связи,2011,22.884
Деятельность финансовая и страховая,2011,18.251
Деятельность по операциям с недвижимым имуществом,2011,34.495
"Деятельность профессиональная, научная и техническая",2011,44.499
Деятельность административная и сопутствующие дополнительные услуги,2011,35.838
Государственное управление и обеспечение военной безопасности; социальное обеспечение,2011,77.025
Образование,2011,98.207
Деятельность в области здравоохранения и социальных услуг,2011,77.731
"Деятельность в области культуры, спорта, организации досуга и развлечений",2011,18.636
Предоставление прочих видов услуг,2011,21.34
"Сельское, лесное хозяйство, охота, рыболовство и рыбоводство",2012,76.31
Добыча полезных ископаемых,2012,15.419
Обрабатывающие производства,2012,259.034
"Обеспечение электрической энергией, газом и паром; кондиционирование воздуха",2012,26.298
"Водоснабжение; водоотведение, организация сбора и утилизации отходов, деятельность по ликвидации загрязнений",2012,12.246
Строительство,2012,104.354
Торговля оптовая и розничная; ремонт автотранспортных средств и мотоциклов,2012,209.709
Транспортировка и хранение,2012,87.484
Деятельность гостиниц и предприятий общественного питания,2012,28.906
Деятельность в области информации и связи,2012,22.18
Деятельность финансовая и страховая,2012,18.89
Деятельность по операциям с недвижимым имуществом,2012,34.583
"Деятельность профессиональная, научная и техническая",2012,42.569
Деятельность административная и сопутствующие дополнительные услуги,2012,33.106
Государственное управление и обеспечение военной безопасности; социальное обеспечение,2012,72.714
Образование,2012,93.118
Деятельность в области здравоохранения и социальных услуг,2012,75.393
"Деятельность в области культуры, спорта, организации досуга и развлечений",2012,17.315
Предоставление прочих видов услуг,2012,20.59
"Сельское, лесное хозяйство, охота, рыболовство и рыбоводство",2013,70.768
Добыча полезных ископаемых,2013,15.34
Обрабатывающие производства,2013,259.179
"Обеспечение электрической энергией, газом и паром; кондиционирование воздуха",2013,26.437
"Водоснабжение; водоотведение, организация сбора и утилизации отходов, деятельность по ликвидации загрязнений",2013,12.339
Строительство,2013,101.279
Торговля оптовая и розничная; ремонт автотранспортных средств и мотоциклов,2013,204.189
Транспортировка и хранение,2013,83.198
